/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y
1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.194700423803369
1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,0.9000000000001045,1.00125e-06,1.194700478520158
1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,0.787500000000112,1.00134375e-06,1.194700500608443
1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,1.2,1.001390625e-06,0.7312499999999886,1.001390625e-06,1.194700513193506
1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,1.2,1.001484375e-06,0.618749999999742,1.001484375e-06,1.19470054701123
1.0015168539033e-06,1.2,1.0015168539033e-06,1.2,1.0015168539033e-06,1.2,1.0015168539033e-06,1.2,1.0015168539033e-06,1.2,1.0015168539033e-06,1.2,1.0015168539033e-06,1.2,1.0015168539033e-06,0.5797753160405765,1.0015168539033e-06,1.194700577597686
1.001533093354949e-06,1.2,1.001533093354949e-06,1.2,1.001533093354949e-06,1.2,1.001533093354949e-06,1.2,1.001533093354949e-06,1.2,1.001533093354949e-06,1.2,1.001533093354949e-06,1.2,1.001533093354949e-06,0.5602879740608667,1.001533093354949e-06,1.194700603013215
1.001565572258249e-06,1.2,1.001565572258249e-06,1.2,1.001565572258249e-06,1.2,1.001565572258249e-06,1.2,1.001565572258249e-06,1.2,1.001565572258249e-06,1.2,1.001565572258249e-06,1.2,1.001565572258249e-06,0.5213132901014472,1.001565572258249e-06,1.194700548430795
1.001579407001681e-06,1.2,1.001579407001681e-06,1.2,1.001579407001681e-06,1.2,1.001579407001681e-06,1.2,1.001579407001681e-06,1.2,1.001579407001681e-06,1.2,1.001579407001681e-06,1.2,1.001579407001681e-06,0.504711597982635,1.001579407001681e-06,1.194700343769316
1.001593281145735e-06,1.2,1.001593281145735e-06,1.2,1.001593281145735e-06,1.2,1.001593281145735e-06,1.2,1.001593281145735e-06,1.2,1.001593281145735e-06,1.2,1.001593281145735e-06,1.2,1.001593281145735e-06,0.4880626251183724,1.001593281145735e-06,1.19469916422498
