/IN (Design_Point=1) X,/IN (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y,/REF (Design_Point=1) X,/REF (Design_Point=1) Y
3.137904880610122e-06,1.2,3.137904880610122e-06,1.199999682121965,3.137904880610122e-06,0.6
3.187904880610122e-06,1.2,3.187904880610122e-06,1.199999682121998,3.187904880610122e-06,0.6
3.237904880610122e-06,1.2,3.237904880610122e-06,1.199999682122028,3.237904880610122e-06,0.6
3.287904880610122e-06,1.2,3.287904880610122e-06,1.199999682122054,3.287904880610122e-06,0.6
3.337904880610122e-06,1.2,3.337904880610122e-06,1.199999682122078,3.337904880610122e-06,0.6
3.387904880610122e-06,1.2,3.387904880610122e-06,1.199999682122098,3.387904880610122e-06,0.6
3.437904880610122e-06,1.2,3.437904880610122e-06,1.199999682122117,3.437904880610122e-06,0.6
3.487904880610122e-06,1.2,3.487904880610122e-06,1.199999682122134,3.487904880610122e-06,0.6
3.537904880610122e-06,1.2,3.537904880610122e-06,1.199999682122149,3.537904880610122e-06,0.6
3.587904880610122e-06,1.2,3.587904880610122e-06,1.199999682122163,3.587904880610122e-06,0.6
3.637904880610122e-06,1.2,3.637904880610122e-06,1.199999682122176,3.637904880610122e-06,0.6
3.687904880610122e-06,1.2,3.687904880610122e-06,1.199999682122187,3.687904880610122e-06,0.6
3.737904880610122e-06,1.2,3.737904880610122e-06,1.199999682122198,3.737904880610122e-06,0.6
3.787904880610122e-06,1.2,3.787904880610122e-06,1.199999682122207,3.787904880610122e-06,0.6
3.837904880610122e-06,1.2,3.837904880610122e-06,1.199999682122217,3.837904880610122e-06,0.6
3.887904880610122e-06,1.2,3.887904880610122e-06,1.199999682122225,3.887904880610122e-06,0.6
3.937904880610123e-06,1.2,3.937904880610123e-06,1.199999682122233,3.937904880610123e-06,0.6
3.987904880610123e-06,1.2,3.987904880610123e-06,1.19999968212224,3.987904880610123e-06,0.6
4.037904880610124e-06,1.2,4.037904880610124e-06,1.199999682122246,4.037904880610124e-06,0.6
4.087904880610124e-06,1.2,4.087904880610124e-06,1.199999682122252,4.087904880610124e-06,0.6
4.137904880610124e-06,1.2,4.137904880610124e-06,1.199999682122258,4.137904880610124e-06,0.6
4.187904880610125e-06,1.2,4.187904880610125e-06,1.199999682122263,4.187904880610125e-06,0.6
4.237904880610125e-06,1.2,4.237904880610125e-06,1.199999682122268,4.237904880610125e-06,0.6
4.287904880610125e-06,1.2,4.287904880610125e-06,1.199999682122273,4.287904880610125e-06,0.6
4.337904880610126e-06,1.2,4.337904880610126e-06,1.199999682122278,4.337904880610126e-06,0.6
4.387904880610126e-06,1.2,4.387904880610126e-06,1.199999682122282,4.387904880610126e-06,0.6
4.437904880610127e-06,1.2,4.437904880610127e-06,1.199999682122285,4.437904880610127e-06,0.6
4.487904880610127e-06,1.2,4.487904880610127e-06,1.199999682122289,4.487904880610127e-06,0.6
4.537904880610127e-06,1.2,4.537904880610127e-06,1.199999682122292,4.537904880610127e-06,0.6
4.587904880610128e-06,1.2,4.587904880610128e-06,1.199999682122296,4.587904880610128e-06,0.6
4.637904880610128e-06,1.2,4.637904880610128e-06,1.199999682122299,4.637904880610128e-06,0.6
4.687904880610128e-06,1.2,4.687904880610128e-06,1.199999682122302,4.687904880610128e-06,0.6
4.737904880610129e-06,1.2,4.737904880610129e-06,1.199999682122305,4.737904880610129e-06,0.6
4.787904880610129e-06,1.2,4.787904880610129e-06,1.199999682122307,4.787904880610129e-06,0.6
4.837904880610129e-06,1.2,4.837904880610129e-06,1.19999968212231,4.837904880610129e-06,0.6
4.88790488061013e-06,1.2,4.88790488061013e-06,1.199999682122312,4.88790488061013e-06,0.6
4.93790488061013e-06,1.2,4.93790488061013e-06,1.199999682122314,4.93790488061013e-06,0.6
4.968952440305065e-06,1.2,4.968952440305065e-06,1.199999682122316,4.968952440305065e-06,0.6
5e-06,1.2,5e-06,1.199999682122317,5e-06,0.6
