/PHI_1 (pulse_width=5e-07) X,/PHI_1 (pulse_width=5e-07) Y,/VIN (pulse_width=5e-07) X,/VIN (pulse_width=5e-07) Y,/SH_OUT (pulse_width=5e-07) X,/SH_OUT (pulse_width=5e-07) Y
2.000245190018282e-06,0.2942280219381173,2.000245190018282e-06,0.6004621722503956,2.000245190018282e-06,0.5741947313484245
2.000245976019721e-06,0.2951712236656743,2.000245976019721e-06,0.6004636538277633,2.000245976019721e-06,0.5741960454594534
2.000246730537472e-06,0.2960766449663527,2.000246730537472e-06,0.6004650760597914,2.000246730537472e-06,0.5741973144403062
2.00024746812572e-06,0.2969617508638222,2.00024746812572e-06,0.6004664663804653,2.00024746812572e-06,0.5741985479462166
2.000248203633616e-06,0.2978443603395415,2.000248203633616e-06,0.6004678527797671,2.000248203633616e-06,0.5741997826061116
2.00024895290801e-06,0.2987434896126723,2.00024895290801e-06,0.6004692651282958,2.00024895290801e-06,0.5742010360601533
2.00024973363867e-06,0.2996803664044353,2.00024973363867e-06,0.600470736770468,2.00024973363867e-06,0.5742023443843872
2.000250566401226e-06,0.3006796814714719,2.000250566401226e-06,0.6004723064904196,2.000250566401226e-06,0.5742037372722882
2.000251450443969e-06,0.301740532762826,2.000251450443969e-06,0.6004739728712128,2.000251450443969e-06,0.5742052166861542
2.000252380049562e-06,0.3028560594747637,2.000252380049562e-06,0.6004757251359261,2.000252380049562e-06,0.5742067704345698
2.000253363676509e-06,0.3040364118106147,2.000253363676509e-06,0.6004775792284541,2.000253363676509e-06,0.5742084144398484
2.000254403090572e-06,0.3052837086859773,2.000254403090572e-06,0.6004795384771815,2.000254403090572e-06,0.5742101499131965
2.000255502661501e-06,0.306603193801121,2.000255502661501e-06,0.600481611118889,2.000255502661501e-06,0.5742119851946476
2.00025662675122e-06,0.3079521014642402,2.00025662675122e-06,0.6004837299774056,2.00025662675122e-06,0.5742138596819255
2.000257768011126e-06,0.3093216133508462,2.000257768011126e-06,0.6004858812009448,2.000257768011126e-06,0.5742157615979218
2.000258913954264e-06,0.3106967451169124,2.000258913954264e-06,0.6004880412521595,2.000258913954264e-06,0.574217669925693
2.000260051673189e-06,0.312062007826316,2.000260051673189e-06,0.6004901858010957,2.000260051673189e-06,0.5742195626737853
2.000261173490556e-06,0.3134081886672695,2.000261173490556e-06,0.6004923003763072,2.000261173490556e-06,0.5742214282826191
2.0002622713907e-06,0.3147256688401805,2.0002622713907e-06,0.6004943698686241,2.0002622713907e-06,0.5742232513500832
2.000263339274074e-06,0.3160071288887286,2.000263339274074e-06,0.6004963827806759,2.000263339274074e-06,0.574225025003497
2.00026437263789e-06,0.3172471654676011,2.00026437263789e-06,0.6004983306249096,2.00026437263789e-06,0.5742267374341805
2.000265368002447e-06,0.3184416029369634,2.000265368002447e-06,0.6005002068422496,2.000265368002447e-06,0.5742283887896416
2.000266323184712e-06,0.3195878216546413,2.000266323184712e-06,0.6005020073177733,2.000266323184712e-06,0.5742299682796858
